写真,名前,住所,移動1,移動2,移動3,築年数,全階数,部屋階,賃料,管理費,敷/礼/保証/敷引|償却,間取り,専有面積,詳細リンク
http://img01.suumo.com/front/gazo/fr/bukken/270/100096968270/100096968270_gw.jpg,Ｃａｓａ潮津,石川県加賀市潮津町,ＪＲ北陸本線/動橋駅 歩45分,ＪＲ北陸本線/加賀温泉駅 歩47分,ＪＲ北陸本線/粟津駅 歩86分,築30年,2階建,1階,2.6万円,3000円,-/-/-/-,2K,30.32m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000030549582/?bc=100096968270
http://img01.suumo.com/front/gazo/fr/bukken/596/55760596/55760596_gw.jpg,ＮＯＤＡハイツ,石川県加賀市野田町松ケ丘,ＪＲ北陸本線/加賀温泉駅 歩52分,ＪＲ北陸本線/動橋駅 歩63分,ＪＲ北陸本線/大聖寺駅 歩92分,築30年,2階建,1階,2.6万円,3000円,-/-/-/-,1DK,26.48m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000029301305/?bc=000055760596
http://img01.suumo.com/front/gazo/fr/bukken/658/100045201658/100045201658_gw.jpg,動橋ハイツ,石川県加賀市動橋町,ＪＲ北陸本線/動橋駅 歩5分,,,築43年,平屋,-,3万円,-,6万円/-/-/-,2K,37.26m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000013847430/?bc=100045201658
http://img01.suumo.com/front/gazo/fr/bukken/658/100045201658/100045201658_gw.jpg,動橋ハイツ,石川県加賀市動橋町,ＪＲ北陸本線/動橋駅 歩5分,,,築43年,平屋,-,3.6万円,-,7.2万円/-/-/-,2DK,37.26m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000013847431/?bc=100023339431
http://img01.suumo.com/front/gazo/fr/bukken/453/100070678453/100070678453_gw.jpg,メゾン・ヌーボ,石川県加賀市山代温泉神明町,ＪＲ北陸本線/加賀温泉駅 バス10分 (バス停)山代温泉口 歩6分,,,築35年,4階建,3階,3万円,-,-/-/-/-,2K,35.6m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031573005/?bc=100070678453
http://img01.suumo.com/front/gazo/fr/bukken/329/100096683329/100096683329_gw.jpg,コーポさらら,石川県加賀市山代温泉桔梗丘３,ＪＲ北陸本線/加賀温泉駅 バス18分 (バス停)山代温泉西口 歩8分,,,築40年,3階建,3階,2.8万円,2000円,-/-/-/-,2K,33.55m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000030409205/?bc=100096683329
http://img01.suumo.com/front/gazo/fr/bukken/090/100015242090/100015242090_gw.jpg,T1ビル,石川県加賀市山代温泉桔梗丘２,ＪＲ北陸本線/加賀温泉駅 バス18分 (バス停)山代温泉西口 歩5分,,,築28年,3階建,3階,3万円,2000円,-/-/-/-,1K,24.32m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000029522325/?bc=100015242090
http://img01.suumo.com/front/gazo/fr/bukken/800/100090373800/100090373800_gw.jpg,メゾン山中YB,石川県加賀市山中温泉塚谷町１,ＪＲ北陸本線/大聖寺駅 歩107分,,,築26年,2階建,1階,2.9万円,3000円,-/-/-/-,ワンルーム,22.9m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031955402/?bc=100090373800
http://img01.suumo.com/front/gazo/fr/bukken/662/100075808662/100075808662_gw.jpg,マンション新生,石川県加賀市山代温泉神明町,ＪＲ北陸本線/加賀温泉駅 歩49分,ＪＲ北陸本線/大聖寺駅 歩66分,ＪＲ北陸本線/動橋駅 歩61分,築32年,3階建,3階,3万円,3000円,6万円/3万円/-/-,ワンルーム,16.06m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000019181474/?bc=100075808662
NO IMAGE,メゾン山代,石川県加賀市山代温泉北部４,北鉄バス/市の瀬神社前 歩1分,,,築38年,2階建,2階,3.2万円,2000円,-/-/-/-,2DK,34m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031961872/?bc=100101018030
http://img01.suumo.com/front/gazo/fr/bukken/348/100101396348/100101396348_gw.jpg,りんごちゃん,石川県加賀市松が丘２,ＪＲ北陸本線/加賀温泉駅 歩23分,,,築28年,2階建,2階,3.1万円,3000円,-/-/-/-,1K,26.49m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000032078090/?bc=100101396348
http://img01.suumo.com/front/gazo/fr/bukken/638/100084752638/100084752638_gw.jpg,コーポ湖,石川県加賀市潮津町,ＪＲ北陸本線/加賀温泉駅 バス15分 (バス停)片山津西口 歩6分,,,築32年,2階建,1階,3.5万円,2500円,3.5万円/3.5万円/-/-,2DK,34.71m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000024087110/?bc=100084752638
http://img01.suumo.com/front/gazo/fr/bukken/144/100101463144/100101463144_gw.jpg,カーサ松が丘,石川県加賀市松が丘３,ＪＲ北陸本線/加賀温泉駅 バス5分 (バス停)松が丘2丁目 歩10分,ＪＲ北陸本線/大聖寺駅 バス12分 (バス停)松が丘2丁目 歩10分,,築26年,2階建,2階,3.7万円,3000円,7.4万円/-/-/-,2DK,39.67m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000032097850/?bc=100101463144
http://img01.suumo.com/front/gazo/fr/bukken/779/100101585779/100101585779_gw.jpg,ライフフィールドマンション,石川県加賀市加茂町,ＪＲ北陸本線/加賀温泉駅 歩18分,,,築22年,6階建,2階,3.7万円,3000円,-/-/-/-,1K,27.2m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000032141564/?bc=100101585779
